Serial_number,Postal_Code,House_Type,Residents,Energy_Label,Solar_Panels,Average_Use,Gas_Reduction
1013491,7522BA,cornerHouse,1.0,c,13.0,0.0768,-565.3645091851911
1011240,7543ES,detachedHouse,2.0,a,16.0,0.608123076923077,-20.130243938829317
1013498,7543BX,cornerHouse,1.0,a,5.0,0.26621538461538463,37.51914694073688
1011251,7543GG,semiDetachedHouse,4.0,b,9.0,0.8961230769230768,68.00016949138711
1011267,7546PW,cornerHouse,2.0,g,0.0,0.24627692307692306,65.26359211396982
1013561,7542ME,rowHouse,2.0,c,15.0,0.0635076923076923,-177.72258898350523
1011796,7542WP,rowHouse,2.0,c,0.0,0.18941538461538462,-58.95644168786451
1013553,7514BT,semiDetachedHouse,4.0,f,0.0,0.35593846153846154,-187.72253715743884
1012373,7542NS,semiDetachedHouse,6.0,c,32.0,0.13144615384615385,-351.82939037164044
1012035,7511RW,apartment,2.0,b,0.0,0.11113846153846155,-1.8724600991961715
1012352,7511AD,apartment,2.0,c,0.0,0.02990769230769231,-952.7830568552284
1011219,7545DG,rowHouse,4.0,a,0.0,0.05427692307692307,-549.0956392969839
1013554,7542JD,cornerHouse,4.0,c,0.0,0.02363076923076923,-3626.4485288180317
1011341,7523HJ,semiDetachedHouse,4.0,a,0.0,0.1104,-375.96800621114375
1013672,7514AV,semiDetachedHouse,1.0,a,0.0,0.030646153846153847,-1134.5544137773406
1013671,7531MB,detachedHouse,2.0,b,9.0,0.05501538461538462,-2038.6357161582648
1013667,7523AC,semiDetachedHouse,2.0,c,0.0,0.07273846153846154,-505.4893481431833
1011425,7545CT,semiDetachedHouse,1.0,c,12.0,0.039507692307692306,-739.8302262804103
1011216,7548BM,detachedHouse,3.0,c,12.0,0.6568615384615385,-60.49725099942933
1013702,7521GE,semiDetachedHouse,4.0,g,0.0,0.7905230769230768,42.90224326090255
